	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 02:10:24 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-2.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  404998 1033216  2203800  2662899 1690338  926260 1492919   983980  1734015  1083249  1143223 2298136  2467108
              64       8  532815 1330167  3203069  3363612 2561267 1330167 2133730  1429325  2561267  1599680  1599680 3203069  3203069
              64      16  561808 1679761  5283570  5389653 4018152 1780008 3363612  1892980  4274062  1947927  2278628 4897948  5283570
              64      32  615952 1879725  6421025  7100397 5389653 2067979 4564786  2278628  5735102  2067979  3588436 6421025  7100397
              64      64  598110 2067979  7100397  7940539 7100397 2358717 4897948  2379626  7100397  2358717  2379626 7100397  7940539
             128       4  460514 1067750  2558895  2608629 1705404  826202 1579934  1000121  1710838  1085013  1093856 2511022  2608629
             128       8  565838 1421023  3468030  3468030 2608629 1359835 2420455  1440082  2558895  1526043  1526043 3468030  3560017
             128      16  643108 1424795  5325799  5603747 4267461 1802755 3785961  1967960  4267461  2004703  1997245 5325799  5545860
             128      32  680612 1967960  7176872  6727225 5784891 2132084 4934216  2326073  5847904  2558895  2660335 6727225  6727225
             128      64  699227 2027414  7476717  7917784 7082197 2326073 5603747  2511022  7176872  1802755  3759450 8036304  7917784
             128     128  662962 2098744  8036304  8548124 7476717 2464907 6406138  2511022  8036304  2511022  2420455 8036304  8548124
             256       4  463657 1040643  2588541  2187712 1718521  934659 1619994   985259  1694118  1084800  1084800 2486631  2533571
             256       8  585845 1415041  3454704  2975955 1814348 1361224 2463808  1471270  2371308  1489641  1487577 3557725  3557725
             256      16  408297 1272498  4054829  4264168 3326279 1325925 3009318  1445521  3285566  1334162  1368162 3994490  4197489
             256      32  508929 1437779  5117791  5217259 4496299 1540948 4117018  1718521  4572895  1662639   606700 6107548  6891544
             256      64  686620 2081678  8024634  8024634 7314033 2413957 6249745  2632974  7120034  2613746  2812272 8024634  7965107
             256     128  731528 2187712  8208677  8815202 7965107 2533571 7120034  2692393  8024634  1897721  4054829 8271916  8534922
             256     256  689708 2247235  9114515  9114515 8534922 2588541 7791708  2613746  8271916  2639446  2582316 8534922  8815202
             512       4  457514  996139  2391924  2651850 1723770  929322 1538526   982917  1718254  1071167  1064266 2327124  2560168
             512       8  577932 1316016  3086326  3510074 2651850 1368865 2438090  1442420  2572435  1458090  1354190 3046915  3510074
             512      16  675563 1736314  4340054  5566231 4375425 1795846 3409755  1999881  4340054  1840480  1684557 5115422  5509113
             512      32  714207 1783912  4340054  6931711 5886650 2143612 3970896  2370799  5566231  1977778  1961520 4973263  5509113
             512      64  736750 1809465  5760329  7871843 7211022 2347475 4961773  2655129  7211022  2438090  2216629 5509113  7871843
             512     128  755144 1945526  7758090  8528336 8140399 2509312 5439343  2768068  7871843  2796910  2347475 5744919  8528336
             512     256  755144  693675  7211022  8955098 8665997 2572435 5566231  2782414  8394979  1700565  3366987 6395018  8992598
             512     512  718028 1361920  8992598  8992598 8992598 2625909 5822804  2651850  5214798  2613128  2275345 7435738  9304292
            1024       4  477812  997946  1687075  2612819 1628234  794363 1551198   942952  1668074   997251   899883 2060128  2474336
            1024       8  574285 1253710  2867506  3239514 2578312 1354535 2060128  1444266  2573677  1436537  1286378 2688041  3369115
            1024      16  634429 1136593  4095102  5277632 3984917 1789714 3472628  2011877  4110780  1818510  1633188 3835457  5390231
            1024      32  675861 1718120  5200941  6519323 5821271 2031864 3923040  2311849  4493556  2086145  1896395 4810640  6692005
            1024      64  712053 1766163  5330028  7537599 6974549 2354947 4715569  2686359  7369466  2056183  2060128 5194651  7537599
            1024     128  566408 1662907  5194651  8593274 8183918 2504637 4550690  2820430  7826025  2142335  2102484 5813392  8391792
            1024     256  709114 1942715  5330028  8457895 8391792 1662264 4339202  2751762  8525047  2321847  2455943 4095102  8391792
            1024     512  705271 1831694  6128613  8610501 8246774 2510493 5529011  2829721  7306780  1852232  3074849 5660167  7883484
            1024    1024  680465 1885572  6317933  6609617 6355328 2295784 5120336  2220992  5330028  2300703  1962242 5277632  6327241
            2048       4  469836  961939  1658350  2031771 1437211  802137 1275264   895922  1290592   896671   841753 1907261  2324867
            2048       8  551421 1150570  2354177  3079044 2470639 1170321 1976603  1413328  2356760  1322178  1212615 2572756  2929912
            2048      16  622107 1430986  3271351  4603874 3723735 1627866 2852087  1984824  3671217  1633127  1500476 3407614  4581773
            2048      32  649532 1558743  2645657  5212953 5020987 1427182 3606479  2334979  4591569  1889639  1678440 4038890  5107566
            2048      64  687040 1688337  4490751  5611381 5852228 2111168 4215286  2702252  5044577  2060526  1885905 4293237  6020395
            2048     128  700429 1734007  4945823  6440169 6359119 2144371 4481379  2888532  8067138  2148662  1867050 4717655  6420913
            2048     256  712337 1750616  4775354  6243566 6503556 2216296 4591569  2860636  8261095  2204918  2079481 4490751  6110328
            2048     512  711098 1688337  4741090  6363830 6261772 2155672 5095447  2916978  8253158  2500122  2348384 4886737  5095447
            2048    1024  702836 1785550  4948672  5596757 5251194 2113766 4911886  1582871  4164199  1705432  3002627 4717655  5319484
            2048    2048  673466 1709505  4265523  4310472 4293237 1908956 4073364  1965297  4223576  1936062  1906837 3630870  4248644
            4096       4  464335  910828  2000030  2212815 1403606  660210 1351276   938544  1315778   800784   689793 1695302  1711686
            4096       8  544618  971063  2459958  2915397 2262949 1201910 2057270  1452007  2284312  1280855  1035942 2255521  2519114
            4096      16  542006 1222348  3354260  4003879 3424463 1542205 2832715  1955189  3396704  1575873  1463386 2830382  3915366
            4096      32  681529 1482965  3324403  4617244 4171080 1800484 3107900  2391139  3991785  1758825  1539855 3354260  4357270
            4096      64  688494 1364477  2898672  3828122 4520059 1552658 3524939  2675656  4701910  1781625  1441287 3527834  4740836
            4096     128  707316 1611347  3621537  4671228 5075585 1750403 3915366  2828518  4864330  1896273  1682024 3498380  4952675
            4096     256  708278 1617567  3630721  4692920 5353976 2004931 3497668  2848213  8340529  1893556  1782364 3918939  5278308
            4096     512  707170 1580803  3806915  5178081 5125556 1910401 3622300  2948925  8497289  1967279  1774632 3706707  5211065
            4096    1024  694927 1376282  3413576  3730046 4132949 1643093 3387995  1900679  4380601  1840015  1570543 3245277  4408705
            4096    2048  672249 1472795  3621537  3781775 3775126 1755770 3032202  1994225  3583764  1380041  2384170 3027393  3821310
            4096    4096  647080 1454958  3054304  3086681 3119752 1622302 2677324  1608781  2807716  1567534  1550976 2842087  3083911
            8192       4  467048  859319  1815976  1748960 1335769  737289 1293917   963110  1312151   864487   851019 1699563  1778932
            8192       8  543307 1130856  2322576  2381329 2049516 1087615 1842562  1452486  2034829  1193634  1130708 2297879  2333301
            8192      16  617283 1131676  2832670  2775915 2718160 1327306 2594988  1988893  2691123  1375886  1346025 2839458  2970290
            8192      32  651297 1455809  3301977  3471099 3505092 1576582 3053166  2458515  3383927  1608767  1498474 3143385  3354851
            8192      64  678150 1531264  3372633  3556980 3759351 1662717 3414868  2681462  3602478  1684895  1563383 3343751  3485889
            8192     128  669600 1408774  3479888  3569544 3797996 1661350 3558822  2797840  3621463  1697128  1626742 3571028  3637565
            8192     256  698144 1569955  3602478  3799676 4242568 1746648 3607395  2959544  3188896  1581735  1670072 3591558  3733615
            8192     512  702929 1607487  3323375  3558822 3923327 1608164 3824630  3031882  8631352  1826110  1703523 3666679  3849483
            8192    1024  687995 1508143  3678455  3747460 4007992 1745140 3585187  2354728  5657036  1669422  1652561 3462355  3556980
            8192    2048  680124 1542745  3460959  3481651 3414868 1666023 3348965  2121127  4280090  1769405  1614133 3049913  3295327
            8192    4096  645595 1401305  2918320  2850293 2821041 1497299 2751022  1677000  2859307  1380474  2341250 2500562  2786495
            8192    8192  625771 1385875  2624722  2608780 2663172 1481610 2541625  1485389  2507496  1488349  1487060 2608978  2604627
           16384       4  458769  872785  1833262  1789625 1309046  767157 1284504   964040  1256049   812778   835060 1766440  1780859
           16384       8  545952 1116141  2276549  2188601 1862679 1031424 1848997  1454140  1880005  1113500  1129682 2251192  2261416
           16384      16  606142 1310195  2798844  2839905 2463434 1232817 2125050  2015245  2346271  1274121  1307477 2716635  2768958
           16384      32  651630 1421591  3142351  3153165 2952526 1504076 3009022  2402375  3018937  1508799  1498991 3165365  3162889
           16384      64  667835 1504208  3257803  3173991 3146524 1551061 3026782  2709993  3040845  1489052  1560536 3290720  3257803
           16384     128  685694 1591767  3579548  3526461 3381064 1730628 3641769  2930367  3584402  1658456  1659658 3521041  3539539
           16384     256  683179 1547115  3627160  3686903 3608873 1698001 3688486  2986010  3773554  1696617  1693941 3623335  3647374
           16384     512  671614 1544195  3580294  3628884 3641769 1665530 3701798  3027315  3712598  1648787  1647601 3303851  3191978
           16384    1024  649155 1441632  3435491  3216932 3349097 1631872 3387898  2347633  5685024  1572211  1533923 3353837  3281449
           16384    2048  640026 1470727  3134468  3200749 3103047 1603429 3190644  2117324  4205390  1511853  1488665 3103747  3175898
           16384    4096  642383 1380996  2723849  2777015 2684584 1473124 2672370  1737059  3117122  1614163  1632842 2566380  2703702
           16384    8192  641298 1345572  2592033  2603029 2606485 1493518 2599779  1552112  2612728  1290680  2234575 2445027  2527584
           16384   16384  627358 1361272  2514819  2530749 2521463 1454817 2505650  1459328  2646435  1515921  1517729 2638307  2641349
           32768      64  667222 1546746  3530611  3541711 3343378 1671929 3203421  2688986  3240811  1563141  1565741 3255627  3376396
           32768     128  654509 1535308  3480012  3514361 3430844 1680844 3361203  2823615  3357672  1531868  1513398 3607245  3610087
           32768     256  684222 1601482  3479308  3625897 3576549 1622582 3494079  2993086  3558215  1573035  1520480 3667796  3672304
           32768     512  688576 1516269  3617213  3631166 3553983 1733112 3618356  2945679  3611605  1531936  1638717 3678988  3686389
           32768    1024  677824 1563070  3503431  3487430 3571437 1693958 3136242  2279033  3443393  1454598  1462539 3404836  3301217
           32768    2048  652982 1498922  3309166  3314912 3293544 1636766 3186265  2055444  3905091  1285980  1285631 3176104  3262428
           32768    4096  641743 1398189  2888841  2865113 2852862 1552915 2882237  1741016  3136528  1381743  1377795 2700292  2834622
           32768    8192  631184 1361471  2538968  2574688 2560395 1357987 2431566  1544070  2488852  1527221  1589076 2451605  2594861
           32768   16384  622871 1347641  2511731  2480766 2541362 1481377 2549660  1504435  2544703  1258520  2122976 2433029  2568625
           65536      64  644075 1517423  3589430  3599112 3370137 1602470 3334488  2527919  3292747  1570023  1593968 3361318  3327183
           65536     128  671887 1574818  3644348  3686528 3596145 1740396 3425107  2890992  3406051  1572358  1638354 3681196  3583347
           65536     256  676143 1568330  3562310  3554433 3363416 1595754 3688606  2964896  3707411  1708443  1697607 3386163  3426003
           65536     512  674863 1594162  3605627  3457244 3506864 1747299 3613780  2993732  3601092  1616018  1584833 3823334  3832076
           65536    1024  674342 1306461  3389336  3416720 3261143 1657250 3584328  2401628  3558068  1428955  1504837 3205468  3374482
           65536    2048  613156 1452230  3211272  3268628 3095862 1603601 3064147  2054350  2916606  1111759  1295635 3285034  3326860
           65536    4096  615304 1330272  2787926  2686117 2815223 1453320 2764431  1492467  2776353  1342047  1356994 2843707  2866841
           65536    8192  587287 1352706  2530060  2585655 2543004 1477736 2460070  1501361  2473240  1324573  1358174 2514990  2557103
           65536   16384  575624 1335838  2511910  2498690 2513840 1453897 2635762  1545223  2491465  1570059  1487291 2425083  2484484
          131072      64  528053 1075780  3281129  3307641 3134855 1163256 3238109  2658229  3165614  1116940  1272171 3578934  3562514
          131072     128  540839 1145855  3706157  3741367 3637880 1190156 3243955  2779663  3345034  1164875  1084198 3491980  3589144
          131072     256  535493 1148154  3493778  3316680 3249900 1163450 3535616  2782773  3573002  1044847  1201702 3844317  3804385
          131072     512  528716 1157023  3832845  3891338 3845204 1261168 3630792  3043937  3853451  1201757  1252072 3566003  3580122
