	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:46:19 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  633392 2358717  6421025 10402178 7940539 3057153 5860307  3738358  7940539  2772930  2662899 5860307 10821524
              64       8  863676 2561267 12902017 1290201710402178 3791156 8182586  4897948 12902017  3791156  3203069 9318832 12902017
              64      16  874936 2772930 10821524 1290201712902017 3958892 7940539  4564786 10402178  3738358  3738358 9318832 12902017
              64      32  855419 2892445 12902017 1597288510402178 4274062 9006179  4897948 10821524  3791156  4564786 9318832 12902017
              64      64  852702 2923952 12902017 1597288512902017 4564786 7940539  4564786 10821524  4274062  3541098 9006179 12902017
             128       4  819893 2608629  7917784  9129573 7582312 3199360 6406138  3982553  6727225  2905056  2770150 7917784  9129573
             128       8  955616 2905056 10779307 11470204 9795896 3759450 8036304  4934216 14200794  3560017  3277486 9977956 10779307
             128      16  969421 2985839  9795896 11470204 9795896 3982553 8548124  4934216 12542043  3982553  3657016 9795896 10567140
             128      32 1007629 3199360 10567140 1172061410779307 4407601 8548124  4889281 11470204  4557257  4104338 9795896 11470204
             128      64 1040839 3199360 11720614 1284205110567140 4407601 9129573  4759253 10779307  3560017  5325799 9795896 11720614
             128     128  921183 3124872 10779307 10779307 9795896 4267461 8548124  4407601  9795896  4267461  3759450 9129573 10779307
             256       4  861885 2699161  8024634  8534922 7518900 3114048 6761355  3994490  6936061  3052087  2903529 7735574  8271916
             256       8  970126 3123106  9868433 10245071 9518507 3770085 8815202  5022044  8534922  3545976  3368013 9434868  9868433
             256      16 1058076 3123106  9434868 10651598 9868433 4009406 8534922  5117791 12228612  3770085  3605511 9518507  9778562
             256      32 1062263 3285566 10245071 1075832210245071 4264168 9192546  4929815 11569783  4070199  3879045 9518507 10245071
             256      64 1098113 3326279 10245071 1065159810245071 4332998 9518507  5022044 11207494  4652146  4350555 9868433 10245071
             256     128 1089202 3326279  9778562 10651598 9518507 4264168 8815202  4553502 10245071  3316006  5810112 9114515  9868433
             256     256 1012194 3285566  9518507  9434868 9518507 4117018 8534922  4132864  9192546  4117018  3935921 9192546  9518507
             512       4  709019 2668325  7988981  8394979 7022379 2975154 6931711  4030519  6931711  2962840  2891043 7758090  7871843
             512       8  986529 3068685  9468384 10044089 8992598 3659616 8665997  5019764  8844453  3481620  3409755 9468384  9468384
             512      16 1042566 3196584  9304292  9859630 9145790 3913012 8701110  5019764  8992598  3684733  3459188 9510316  9681823
             512      32 1111070 3346002  9859630 10235583 9814569 4163357 9145790  5019764 11943357  3815675  3710197 9681823 10044089
             512      64 1071167 3372274 10044089 10434519 9997331 4305250 9468384  5115422 11877300  4068701  4030519 9859630 10044089
             512     128 1093531 3346002  9681823  9859630 9638369 4228947 9145790  4784885 10641343  4411377  4411377 9468384  9638369
             512     256 1108203 3304808  9145790  9344779 9145790 4131319 8808176  4411377  9304292  3279573  5886650 9145790  9344779
             512     512  982917 3299730  8955098  9304292 8992598 4038098 8808176  4091959  8992598  4068701  3970896 8955098  9145790
            1024       4  897438 2694787  7941793  8262639 7066349 3057339 6918376  4044965  6918376  2976816  2942149 7699755  7869040
            1024       8  977060 3103735  9142007  9923546 8895850 3615883 8750850  5071963  8768716  3458646  3422814 9402175  8246774
