	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:47:52 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  404998 1083249  1780008  2801873 1828508  929467 1562436   789967  1933893  1066042  1066042 2278628  2662899
              64       8  532815 1452528  2923952  4564786 3203069 1452528 2561267  1119387  3406295  1734015  1690338 4018152  4564786
              64      16  571375 1734015  4018152  6421025 4897948 2067979 3738358  2278628  4897948  2222043  2467108 5283570  6271021
              64      32  598110 1947927  5735102  9006179 7100397 2662899 4564786  2923952  6421025  2379626  3738358 7100397  7940539
              64      64  645579 2067979 10821524 10402178 9006179 3022727 5389653  3203069  7100397  3057153  2772930 8182586 10821524
             128       4  457376 1165070  2132084  2727923 1858934  934004 1684006   770474  1802755  1093856  1065630 2511022  2608629
             128       8  574312 1561553  3124872  4759253 3199360 1487977 2784517  1557024  3468030  1705404  1663139 4135958  4407601
             128      16  640042 1885042  4135958  6406138 4934216 2098744 3867787  2367096  4934216  2367096  2286447 5603747  6114306
             128      32  677178 2132084  5325799  7917784 6330599 1911894 5325799  3053774  6727225  3277486  3124872 7082197  7582312
             128      64  711270 2336194  6727225  9795896 8548124 3124872 6406138  3468030  8548124  2367096  4759253 7917784  9129573
             128     128  727658 2367096  9977956  9795896 9129573 3199360 7176872  3359523  8548124  3359523  3277486 8548124  9977956
             256       4  510866 1175022  2131261  2639446 1855098  928195 1707589   766517  1814348  1052888  1071806 2563818  2582316
             256       8  577651 1662639  3087188  4332998 3207059 1479379 2943325  1729594  3123106  1607865  1639786 4054829  4197489
             256      16  690151 1967260  4054829  5971678 4734192 2065659 4197489  2435861  4998665  2285501  2266207 5569035  5841722
             256      32  713067 2266207  5117791  7791708 6554972 2665657 5717301  3159869  7120034  2911402  2842047 7120034  7518900
             256      64  764334 2350543  6249745  9518507 8271916 3043436 6891544  3667079  8815202  3717869  3605511 8271916  8888172
             256     128  769263 2509882  6891544  9868433 8534922 3275543 7735574  3717869  8815202  2371308  5217259 8815202  9114515
             256     256  787890 1718521  8888172  8815202 8534922 3245838 7791708  3465855  8271916  3410808  3368013 8534922  8815202
             512       4  476286  984720  2124526  2584820 1821745  924123 1723770  1047141  1821745  1023680  1071167 2535981  2544997
             512       8  628138 1599251  3201349  4195896 3140488 1426135 2979282  1712772  3122224  1640796  1605228 4091959  4099771
             512      16  684608 2039772  4061007  5684095 4650188 1895721 4340054  2449212  4571003  2207515  2047551 5566231  5624545
             512      32  750656 2350044  5127637  7540170 6491676 2625909 5951911  2845081  7211022  2750343  2736325 7211022  7435738
             512      64  785528 2532990  5509113  8808176 7988981 3081897 7435738  3768799  9145790  3220553  3239989 8394979  8665997
             512     128  760762 2638816  6104175  9145790 8528336 3201349 7871843  3877684  9468384  3736016  3795443 8808176  8992598
             512     256  804962 1992458  6652558  8992598 8528336 3304808 8018812  3659616  8808176  2275345  5177083 8665997  8955098
             512     512  601568 2655129  8992598  8992598 8992598 3304808 8234036  3504346  8808176  3533174  3459188 8992598  8992598
            1024       4  522196 1196101  2052253  2579861 1824690  893517 1750329  1046071  1821595  1041758   948157 2541692  2540189
            1024       8  628212 1589665  3160839  4195100 3140041 1402298 3020783  1735476  2942149  1600327  1633188 4110780  4146499
            1024      16  710052 2094282  4064103  5720477 4570058 2035716 4396951  2461573  4570058  2207295  2197132 5593820  5096034
            1024      32  774034 2375790  4904018  7524394 6479979 2472911 6128613  3229770  6355328  2672984  2600164 7306780  7472033
            1024      64  793189 2619192  5472650  8840915 8000971 3046495 7524394  3835457  9381637  3094790  3083680 8525047  8680108
            1024     128  817185 2516377  5690162  8988941 8542002 3281592 8061038  4014717  9832672  3355952  3379719 8895850  8895850
            1024     256  825827 2672984  5950309  8750850 8525047 3271594 8183918  3791442  8822754  3709575  3791442 8680108  8750850
            1024     512  698504 2290886  6733974  8988941 8822754 3314514 8391792  3722435  8822754  2254805  5277632 8988941  8988941
            1024    1024  790707 2730767  9045736  9142007 8988941 3345496 8680108  3594699  8988941  3603747  3579719 9064828  9064828
            2048       4  526221 1149338  2248199  2537792 1823453  913550 1728424  1050910  1832009  1026545  1036329 2550602  2556676
            2048       8  639807 1559876  3367537  4033201 3136379 1411470 3029098  1698016  3145567  1613798  1550304 4112366  4112366
            2048      16  723374 1853353  4358590  5723548 4643695 2029850 4460436  1759581  4601407  2190859  2131071 5611381  5655716
            2048      32  763834 2142232  5349298  7477273 5900467 2622235 6202989  2738433  6401772  2608697  2684517 7311791  7393606
            2048      64  823436 2308622  5920802  8793903 8029434 2951050 7733066  3871422  7933034  3024831  2947000 8608824  8713618
            2048     128  836263 2386884  6058611  8903279 8431376 3276342 7670915  4104506 10037248  3160613  3199462 8678404  8793903
            2048     256  854736 2309242  6225466  8830061 8498106 3261415 8390200  3819776  9101380  3297725  3363581 8669645  8784909
            2048     512  857980 2400894  6479029  9062970 8866519 3351769 8713618  3841986  8866519  3690142  3885431 8903279  8987113
            2048    1024  868915 2415069  7368238  9140117 9015410 3363581 8830061  3799501  9024882  1950570  4481379 9062970  9101380
            2048    2048  872268 2378952  9101380  9189005 9062970 3390131 8903279  3512108  9015410  3638560  3626272 9101380  9111033
            4096       4  533407 1081324  2324492  2544108 1817243  899997 1743829   704127  1644194  1014111  1042543 2529871  2572681
            4096       8  651695 1422197  3634562  4226492 3146031 1442255 3033808  1720945  3155856  1598751  1587083 4067390  4149921
            4096      16  741892 1708113  4876757  5728903 4644707 1951413 4496399  2460310  4510565  2192762  2163764 5642353  5672159
            4096      32  798736 1918508  6198078  7515892 6480999 2587405 6272759  3258202  6379914  2640698  2637454 7314299  7237268
            4096      64  831680 2048928  6978564  8712759 7983931 3007255 7774379  3857345  7939654  3000952  2994153 8586475  8677553
            4096     128  848899 2092858  7123239  8497289 8463799 3290024 8308260  4129969  8443002  3061379  3075079 8811067  8497289
            4096     256  856048 2097457  7355007  8847367 8620945 3225172 8193352  3930595  9242423  3116922  3167493 8748253  8829180
            4096     512  863969 2134461  7585581  9105266 8944095 3330202 8793028  3908241  8962759  3351642  3416292 8981502  9062041
            4096    1024  870933 2161586  8480511  9183139 9105266 3381993 8944095  3860813  9124610  3098371  3263773 9062041  9183139
            4096    2048  870183 2170598  8920873  9163546 9144037 3368730 8944095  3846119  9100443  1755770  3824713 9042961  9163546
            4096    4096  874613 2154808  9062041  9144037 9081201 3351642 8734909  3660895  8847367  3653887  3592757 8793028  9038203
            8192       4  532050 1048646  2405166  2583282 1823687  906905 1738870  1048518  1824171  1045423  1034221 2484649  2548789
            8192       8  639896 1357190  3901055  4306915 3200182 1419248 3046398  1532903  3163936  1590006  1569310 4130865  4059608
            8192      16  726947 1611332  5016894  5681356 4599816 2016321 4442223  2457109  4545657  2156811  2125063 5315713  5688881
            8192      32  781599 1803205  6380868  7399047 6450345 2540122 6187815  3270236  6339662  2623119  2550492 5218033  7570215
            8192      64  901716 1918059  7455236  8642207 7961372 3036169 7635827  3837016  7906413  2942563  2881608 8086916  8568928
            8192     128  840115 1982581  7612143  8790341 8393104 3300708 8086916  4190311  8232232  3037511  2930016 8342160  8685901
            8192     256  837617 1985904  7683638  8605412 8605412 3283361 8142493  3923775  8605412  3028408  2949889 8366536  8716750
            8192     512  843829 1996173  7908233  9021131 8952964 3351579 8614041  3963149  8952964  3158120  3081920 8586058  9002223
            8192    1024  852878 2032302  8358395  8904241 9102385 3402019 8560389  3986600  9092750  2738961  2721605 8633521  9083135
            8192    2048  850050 2032783  8350269  9083135 9042498 3407755 8596799  3868117  8952964  2584253  2588342 8350269  9011667
            8192    4096  859147 2041357  8191020  8962305 8856046 3369987 8159896  3758117  8543361  1711585  3158120 7627351  8819674
            8192    8192  877087 2097945  7367317  7809376 7635827 3073925 6814966  3101953  7012469  3131639  2873415 7026810  7605404
           16384       4  534707 1048371  2219420  2410126 1782800  869549 1773735  1002694  1606728   919252   926852 2242231  2364841
           16384       8  657251 1344598  3404177  3795229 3008364 1361703 2776454  1027783  2993685  1451958  1349032 3444964  3726287
           16384      16  742665 1619145  4417609  5034834 4418745 1882580 4034536  2462639  4327475  2014241  1780306 4495051  4755737
           16384      32  805585 1811371  5420027  6397385 6180472 2450870 5533501  3283330  6050418  2447901  2062421 5669079  6236563
           16384      64  835537 1928004  6081474  7285157 7564220 2844960 6767187  3901012  5582045  2421507  2226972 6333122  7298310
           16384     128  852579 1991245  6101994  7457506 7914432 2934120 6918435  4155044  7703281  2763835  2290206 6338379  7258993
           16384     256  863181 2008354  6192167  7317740 7992676 3044348 7484309  3919703  7895336  2824729  2623200 7226930  7567552
           16384     512  870971 2004195  7105134  7667183 8320752 3105992 7787080  3930914  8213346  2870271  2107842 6455681  7249803
           16384    1024  869175 2018678  7311511  7581746 8212365 3105992 8086731  3977787  8952737  2460787  2155242 7041070  7580910
